game_pk,game_date,game_datetime_utc,away_team,home_team,winner_pick,winner_confidence,winner_probability,away_projected_runs,home_projected_runs,projected_total,market_total,total_pick,total_confidence,winner_locked_at_utc,total_locked,total_locked_at_utc,actual_away_runs,actual_home_runs,actual_winner,actual_total,winner_result,total_result,projection_total_result,projection_total_direction,away_run_error,home_run_error,total_projection_error,final_status,graded_at_utc
824717,2026-09-02,2026-09-02T20:10:00Z,Seattle Mariners,Boston Red Sox,Boston Red Sox,LEAN,58.2,3.97,4.42,8.39,,NO LINE,UNAVAILABLE,2026-09-02T19:24:58.453976+00:00,0,,8.0,3.0,Seattle Mariners,11.0,MISS,UNGRADED — NO LINE,,,4.03,1.42,2.61,Final,2026-09-02T23:47:08.389994+00:00
823339,2026-09-02,2026-09-02T22:40:00Z,San Francisco Giants,Pittsburgh Pirates,Pittsburgh Pirates,LEAN,60.7,4.07,4.66,8.73,,NO LINE,UNAVAILABLE,2026-09-02T19:57:11.974847+00:00,0,,5.0,4.0,San Francisco Giants,9.0,MISS,UNGRADED — NO LINE,,,0.93,0.66,0.27,Final,2026-09-03T10:03:25.578808+00:00
824390,2026-09-02,2026-09-02T22:40:00Z,Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,LEAN,60.4,3.77,3.21,6.98,,NO LINE,UNAVAILABLE,2026-09-02T19:57:11.974847+00:00,0,,11.0,0.0,Toronto Blue Jays,11.0,HIT,UNGRADED — NO LINE,,,7.23,3.21,4.02,Final,2026-09-03T10:03:25.639997+00:00
823660,2026-09-02,2026-09-02T23:40:00Z,Detroit Tigers,Minnesota Twins,Detroit Tigers,LEAN,60.2,4.93,4.37,9.3,,NO LINE,UNAVAILABLE,2026-09-02T21:07:47.176667+00:00,0,,11.0,6.0,Detroit Tigers,17.0,HIT,UNGRADED — NO LINE,,,6.07,1.63,7.7,Final,2026-09-03T10:03:25.694147+00:00
824068,2026-09-02,2026-09-02T23:40:00Z,Miami Marlins,Kansas City Royals,Miami Marlins,LEAN,57.8,4.3,3.87,8.17,,NO LINE,UNAVAILABLE,2026-09-02T21:07:47.176667+00:00,0,,9.0,6.0,Miami Marlins,15.0,HIT,UNGRADED — NO LINE,,,4.7,2.13,6.83,Final,2026-09-03T10:03:25.746357+00:00
824634,2026-09-02,2026-09-02T23:40:00Z,Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,STRONG,73.2,5.25,3.9,9.15,,NO LINE,UNAVAILABLE,2026-09-02T21:07:47.176667+00:00,0,,9.0,5.0,Milwaukee Brewers,14.0,HIT,UNGRADED — NO LINE,,,3.75,1.1,4.85,Final,2026-09-03T10:03:25.805188+00:00
824147,2026-09-02,2026-09-03T00:10:00Z,Chicago White Sox,Houston Astros,Houston Astros,NO EDGE,51.5,4.56,4.64,9.19,,NO LINE,UNAVAILABLE,2026-09-02T21:07:47.176667+00:00,0,,0.0,2.0,Houston Astros,2.0,NO PLAY,UNGRADED — NO LINE,,,4.56,2.64,7.19,Final,2026-09-03T10:03:25.845944+00:00
823983,2026-09-02,2026-09-03T01:38:00Z,New York Yankees,Los Angeles Angels,New York Yankees,STRONG,66.7,3.89,2.96,6.85,,NO LINE,UNAVAILABLE,2026-09-02T23:47:08.245005+00:00,0,,6.0,3.0,New York Yankees,9.0,HIT,UNGRADED — NO LINE,,,2.11,0.04,2.15,Final,2026-09-03T10:03:25.888374+00:00
824144,2026-09-03,2026-09-03T18:10:00Z,Chicago White Sox,Houston Astros,Houston Astros,STRONG,62.8,4.58,5.28,9.85,,NO LINE,UNAVAILABLE,2026-09-03T17:28:02.243672+00:00,0,,2.0,6.0,Houston Astros,8.0,HIT,UNGRADED — NO LINE,,,2.58,0.72,1.85,Final,2026-09-08T11:19:14.462292+00:00
824632,2026-09-03,2026-09-03T23:15:00Z,Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,STRONG,63.9,4.91,4.13,9.04,,NO LINE,UNAVAILABLE,2026-09-03T22:32:55.465187+00:00,0,,1.0,2.0,Chicago Cubs,3.0,MISS,UNGRADED — NO LINE,,,3.91,2.13,6.04,Final,2026-09-08T11:19:14.511707+00:00
824796,2026-09-03,2026-09-03T23:15:00Z,Boston Red Sox,Baltimore Orioles,Boston Red Sox,LEAN,57.4,4.32,3.92,8.24,,NO LINE,UNAVAILABLE,2026-09-03T22:32:55.465187+00:00,0,,6.0,5.0,Boston Red Sox,11.0,HIT,UNGRADED — NO LINE,,,1.68,1.08,2.76,Final,2026-09-08T11:19:14.552245+00:00
